# time(ps) Nwater Force (pN) Pressure Dif (atm) 
10 163 1132.7359 2440.7531131151122
20 158 1097.9894 2365.8833857189434
30 161 1118.8373 2410.8052221566445
40 162 1125.7866 2425.7791676358784
50 162 1125.7866 2425.7791676358784
60 156 1084.0908 2335.935494760475
70 160 1111.888 2395.8312766774106
80 164 1139.6852 2455.7270585943456
90 166 1153.5838 2485.674949552814
100 152 1056.2936 2276.03971284354
110 156 1084.0908 2335.935494760475
120 155 1077.1415 2320.961549281242
130 155 1077.1415 2320.961549281242
140 156 1084.0908 2335.935494760475
150 155 1077.1415 2320.961549281242
160 157 1091.0401 2350.909440239709
170 165 1146.6345000000001 2470.7010040735804
180 163 1132.7359 2440.7531131151122
190 155 1077.1415 2320.961549281242
200 152 1056.2936 2276.03971284354
210 160 1111.888 2395.8312766774106
220 155 1077.1415 2320.961549281242
230 153 1063.2429 2291.013658322774
240 151 1049.3443 2261.0657673643063
250 160 1111.888 2395.8312766774106
260 161 1118.8373 2410.8052221566445
270 165 1146.6345000000001 2470.7010040735804
280 161 1118.8373 2410.8052221566445
290 157 1091.0401 2350.909440239709
300 155 1077.1415 2320.961549281242
310 155 1077.1415 2320.961549281242
320 157 1091.0401 2350.909440239709
330 161 1118.8373 2410.8052221566445
340 158 1097.9894 2365.8833857189434
350 159 1104.9387 2380.857331198177
360 151 1049.3443 2261.0657673643063
370 164 1139.6852 2455.7270585943456
380 154 1070.1922 2305.987603802008
390 152 1056.2936 2276.03971284354
400 162 1125.7866 2425.7791676358784
410 156 1084.0908 2335.935494760475
420 155 1077.1415 2320.961549281242
430 161 1118.8373 2410.8052221566445
440 163 1132.7359 2440.7531131151122
450 156 1084.0908 2335.935494760475
460 157 1091.0401 2350.909440239709
470 162 1125.7866 2425.7791676358784
480 158 1097.9894 2365.8833857189434
490 162 1125.7866 2425.7791676358784
500 151 1049.3443 2261.0657673643063
510 161 1118.8373 2410.8052221566445
520 151 1049.3443 2261.0657673643063
530 150 1042.395 2246.091821885073
540 157 1091.0401 2350.909440239709
550 154 1070.1922 2305.987603802008
560 163 1132.7359 2440.7531131151122
570 160 1111.888 2395.8312766774106
580 162 1125.7866 2425.7791676358784
590 163 1132.7359 2440.7531131151122
600 154 1070.1922 2305.987603802008
