1 -1.0
2 1.5
3 -3.0
4 -4.5
5 -3.0
6 -3.0
7 -6.0
8 -5.5
9 -5.0
10 -5.5
11 -7.5
12 -6.5
13 -6.5
14 -4.5
15 -4.5
16 -4.5
17 -6.5
18 -7.5
19 -6.5
20 -8.5
21 -7.5
22 -6.0
23 -6.0
24 -7.5
25 -7.0
26 -6.5
27 -8.5
28 -7.0
29 -8.0
30 -6.5
31 -4.0
32 -2.5
33 -2.0
34 -3.5
35 -4.5
36 -6.5
37 -7.0
38 -7.0
39 -8.5
40 -10.0
41 -7.0
42 -6.5
43 -5.5
44 -5.5
45 -5.5
46 -8.0
47 -9.5
48 -9.0
49 -11.5
50 -9.5
51 -8.5
52 -6.0
53 -2.5
54 -4.0
55 -5.5
56 -4.5
57 -3.5
58 -1.5
59 -0.5
60 -1.0
61 -1.0
62 -1.0
63 -4.0
64 -4.5
65 -5.5
66 -6.5
67 -5.5
68 -6.0
69 -7.0
70 -9.0
71 -7.5
72 -8.5
73 -8.0
74 -8.0
75 -7.5
76 -5.5
77 -6.5
78 -7.0
79 -5.0
80 -2.5
81 0.5
82 1.0
83 2.5
84 0.0
85 -0.5
86 -0.5
87 -1.5
88 -1.5
89 -2.5
90 0.5
91 1.5
92 3.0
93 0.5
94 2.5
95 1.5
96 1.5
97 2.5
98 1.5
99 0.5
