ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  240000         0.0000         0.0000         0.0000         0.0000          -5647.6687       447.5200         0.0000         0.0000       940.8689          -4259.2798       298.9058     -5200.1487     -4258.2271       299.5234            594.3979       616.6048     22757.8873      -234.3512      -234.3428
ENERGY:  245000         0.0000         0.0000         0.0000         0.0000          -5570.9349       365.5607         0.0000         0.0000       929.2901          -4276.0842       295.2273     -5205.3743     -4274.6217       301.8056           -271.0898      -250.4441     22570.5026      -209.1613      -209.1523
ENERGY:  250000         0.0000         0.0000         0.0000         0.0000          -5546.6775       427.6406         0.0000         0.0000       946.4345          -4172.6024       300.6739     -5119.0369     -4169.7223       306.4904            347.2448       354.5071     22755.4581      -232.7244      -232.8784
ENERGY:  255000         0.0000         0.0000         0.0000         0.0000          -5614.8554       438.3886         0.0000         0.0000       950.8761          -4225.5907       302.0850     -5176.4669     -4224.3061       302.1163             86.4793        89.5298     22950.2428      -196.6971      -196.6542
ENERGY:  260000         0.0000         0.0000         0.0000         0.0000          -5592.6940       400.5861         0.0000         0.0000       948.5971          -4243.5108       301.3610     -5192.1079     -4241.2853       304.0158           -239.0321      -199.7849     22769.4711      -248.8856      -248.8168
ENERGY:  265000         0.0000         0.0000         0.0000         0.0000          -5604.3289       404.5262         0.0000         0.0000       954.5908          -4245.2119       303.2651     -5199.8027     -4243.4789       301.0660           -132.5330      -118.3598     22652.2590      -243.6298      -243.5262
ENERGY:  270000         0.0000         0.0000         0.0000         0.0000          -5563.5953       392.8896         0.0000         0.0000       927.4052          -4243.3005       294.6285     -5170.7057     -4239.7742       298.4366            -63.3923       -32.4784     22765.4500      -237.0774      -236.9873
ENERGY:  275000         0.0000         0.0000         0.0000         0.0000          -5608.3536       421.9398         0.0000         0.0000       934.2886          -4252.1253       296.8153     -5186.4138     -4249.2351       298.3541            -94.1110       -75.3672     22803.7094      -230.6614      -230.6737
ENERGY:  280000         0.0000         0.0000         0.0000         0.0000          -5586.1485       373.3528         0.0000         0.0000       929.2538          -4283.5419       295.2158     -5212.7957     -4280.7086       296.4186           -643.9664      -622.7583     22792.1695      -233.4766      -233.5307
ENERGY:  285000         0.0000         0.0000         0.0000         0.0000          -5623.7376       392.5300         0.0000         0.0000       960.8203          -4270.3873       305.2442     -5231.2076     -4268.5346       303.2407           -607.2257      -587.3474     22571.6303      -204.7565      -204.7998
ENERGY:  290000         0.0000         0.0000         0.0000         0.0000          -5722.7166       365.1434         0.0000         0.0000       937.6180          -4419.9552       297.8730     -5357.5732     -4417.4688       290.0091           -954.7744      -921.1547     22401.1977      -220.5351      -220.5035
ENERGY:  295000         0.0000         0.0000         0.0000         0.0000          -5651.1306       426.8734         0.0000         0.0000       974.9021          -4249.3552       309.7178     -5224.2573     -4246.6360       292.4550            253.9475       275.9793     22583.2657      -170.2464      -170.2841
ENERGY:  300000         0.0000         0.0000         0.0000         0.0000          -5614.6345       393.4139         0.0000         0.0000       958.6762          -4262.5444       304.5630     -5221.2207     -4259.6785       298.4658            -25.6445        -2.9811     22302.5857      -189.2703      -189.3503
ENERGY:  305000         0.0000         0.0000         0.0000         0.0000          -5718.4382       430.2659         0.0000         0.0000       946.6423          -4341.5300       300.7400     -5288.1723     -4340.5154       297.4217             87.9992       105.9515     22493.1759      -178.8844      -178.8780
ENERGY:  310000         0.0000         0.0000         0.0000         0.0000          -5565.6098       395.4228         0.0000         0.0000       963.3498          -4206.8372       306.0478     -5170.1870     -4205.2922       298.9684             47.2387        57.6906     22681.8459      -195.3683      -195.3649
ENERGY:  315000         0.0000         0.0000         0.0000         0.0000          -5717.4804       440.6789         0.0000         0.0000       898.7968          -4378.0047       285.5398     -5276.8015     -4375.9671       297.0175            404.3914       426.2322     22498.5647      -203.6635      -203.8876
ENERGY:  320000         0.0000         0.0000         0.0000         0.0000          -5654.4513       395.8054         0.0000         0.0000       923.2650          -4335.3809       293.3132     -5258.6459     -4332.5114       290.7942           -268.2519      -234.2136     22739.9235      -228.2370      -228.3632
ENERGY:  325000         0.0000         0.0000         0.0000         0.0000          -5676.7430       399.6536         0.0000         0.0000       923.1148          -4353.9746       293.2655     -5277.0894     -4351.7346       298.1017            108.8144       116.6008     22218.7117      -176.8400      -176.9062
ENERGY:  330000         0.0000         0.0000         0.0000         0.0000          -5641.2800       423.6038         0.0000         0.0000       929.0197          -4288.6566       295.1414     -5217.6762     -4286.3627       297.5064             -4.6342        25.2438     22852.8954      -223.8960      -223.8919
ENERGY:  335000         0.0000         0.0000         0.0000         0.0000          -5504.0422       352.8686         0.0000         0.0000       957.5134          -4193.6602       304.1936     -5151.1736     -4191.7532       297.9427           -469.1251      -459.0991     22730.3490      -164.1221      -164.2122
ENERGY:  340000         0.0000         0.0000         0.0000         0.0000          -5641.5866       406.7147         0.0000         0.0000       946.1317          -4288.7403       300.5777     -5234.8720     -4285.8701       299.2620           -222.4483      -219.5446     22691.3463      -208.0150      -208.0034
ENERGY:  345000         0.0000         0.0000         0.0000         0.0000          -5603.7818       412.3803         0.0000         0.0000       920.9182          -4270.4833       292.5676     -5191.4015     -4268.2636       296.5513            354.2113       347.8613     22505.0699      -198.4940      -198.4214
ENERGY:  350000         0.0000         0.0000         0.0000         0.0000          -5603.0424       385.1688         0.0000         0.0000       913.1865          -4304.6872       290.1113     -5217.8736     -4303.1152       298.5745           -366.2868      -347.7212     22510.7307      -160.6978      -160.5846
ENERGY:  355000         0.0000         0.0000         0.0000         0.0000          -5650.5935       412.3697         0.0000         0.0000       923.1668          -4315.0569       293.2820     -5238.2238     -4313.7487       299.5094           -138.2635      -135.9760     22656.9575      -232.6182      -232.5533
